PORT_CODE,DATE,IEC,HS_CODE,GOODS_DESCRIPTION,MASTER_CATEGORY,MODEL_NAME,MODEL_NUMBER,CAPACITY,QTY,UNIT_OF_MEASURE,PRICE,UNIT_OF_MEASURE.1,QUANTITY,UNIT,UNIT_PRICE_INR,TOTAL_VALUE_INR,UNIT_PRICE_USD,TOTAL_VALUE_USD,DUTY_PAID_INR,YEAR,MONTH,STD_UNIT,EXTRACTED_MODEL,EXTRACTED_MATERIAL,EMBEDDED_QTY,EXTRACTED_USD_PRICE,GRAND_TOTAL_INR,LANDED_COST_PER_UNIT,CATEGORY,SUB_CATEGORY,SUPPLIER_NAME
INNSA1,2025-10-28,301049751,73239990,TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS) TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS),,,,,,,,,290.0,KGS,401.7253103,116500.34,4.529033938,1313.419842,32736.6,2025,10,KGS,TH5170,STEEL,600.0,2.03,149236.94,514.6101379310345,KITCHENWARE,STANDARD,Global Supplier Group-2
INNSA1,2025-10-28,301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 P,,,,,,,,,9800.0,KGS,440.6022184,4317901.74,4.967330534,48679.83923,1898149.5,2025,10,KGS,8001-2,STEEL,336000.0,0.139,6216051.24,634.2909428571429,CLEANING,STANDARD,Global Supplier Group-5
INNSA1,2025-10-23,301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,232 PCS/CNY:101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,2",,,,,,,,,4004.0,KGS,408.8936638,1637210.23,4.609849649,18457.83799,460056.0,2025,10,KGS,MILD,STEEL,1.0,,2097266.23,523.7927647352648,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-10-13,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS,,,,,,,,,1548.8,KGS,378.4578448,586155.51,4.219151001,6534.62107,164709.7,2025,10,KGS,SB-12,STEEL,6336.0,0.973,750865.21,484.80450025826445,GENERAL,STANDARD,Global Supplier Group-2
INNSA1,2025-10-13,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER P,,,,,,,,,10042.2,KGS,399.7396746,4014265.76,4.456406628,44752.12664,1128008.7,2025,10,KGS,SB-12,STEEL,43038.0,0.9718,5142274.46,512.0665252633885,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-10-08,301049751,73239990,STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/CNY:7.45 PER PCS)STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/:7.45,,,,,,,,,15568.0,KGS,432.1581764,6727838.49,4.817816905,75003.77358,1890522.7,2025,10,KGS,STEEL,STEEL,70056.0,,8618361.19,553.5946293679342,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-10-06,301049751,73239990,STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PERSET)STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PER,,,,,,,,,380.0,KGS,100.4420789,38167.99,1.119755618,425.5071349,10725.3,2025,10,KGS,STEEL,STEEL,480.0,0.819,48893.28999999999,128.66655263157892,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-10-01,301049751,73239990,AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS) AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS),,,,,,,,,460.0,KGS,85.37782609,39273.8,0.9609209464,442.0236353,11036.0,2025,10,KGS,AM-967,STEEL,400.0,1.031,50309.8,109.36913043478262,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-10-01,301049751,73239990,AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS) AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS),,,,,,,,,310.0,KGS,124.9693226,38740.49,1.406520232,436.0212718,10886.1,2025,10,KGS,AM-966,STEEL,400.0,1.017,49626.59,160.0857741935484,GENERAL,STANDARD,Global Supplier Group-5
INNSA1,2025-10-01,301049751,73239990,AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PERPCS)AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PER,,,,,,,,,168.0,KGS,199.7157143,33552.24,2.247785192,377.6279122,9428.1,2025,10,KGS,AM-965,STEEL,480.0,0.734,42980.34,255.83535714285713,KITCHENWARE,STANDARD,Global Supplier Group-4
INNSA1,2025-10-01,301049751,73231000,8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 P,,,,,,,,,9800.0,KGS,456.1253898,4470028.82,5.13365661,50309.83478,1965024.7,2025,10,KGS,8001-2,STEEL,336000.0,0.139,6435053.5200000005,656.6381142857143,CLEANING,STANDARD,Global Supplier Group-5
INNSA1,2025-09-27,301049751,73231000,OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228PER PCS)OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228,,,,,,,,,7496.03,KGS,263.5713784,1975738.96,2.966475841,22236.7919,868534.9,2025,9,KGS,OKS-4156,STEEL,93360.0,0.228,2844273.86,379.4373635110852,CLEANING,STANDARD,Global Supplier Group-4
INNSA1,2025-09-27,301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 P,,,,,,,,,4900.0,KGS,442.0729367,2166157.39,4.975497318,24379.93686,952242.8,2025,9,KGS,8001-2,STEEL,168000.0,0.139,3118400.1900000004,636.4082020408164,CLEANING,STANDARD,Global Supplier Group-1
INNSA1,2025-09-24,301049751,73239990,AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS) AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS),,,,,,,,,3953.4,KGS,492.7319699,1947966.57,5.545660889,21924.21576,547378.6,2025,9,KGS,AM-321,STEEL,28752.0,0.705,2495345.17,631.1896519451611,GENERAL,STANDARD,Global Supplier Group-1
