PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR
INNSA1,2025-10-28,0301049751,73239990,TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS) TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS),,,,,,,,,290,KGS,401.7253103,116500.34,4.529033938,1313.419842,32736.6
INNSA1,2025-10-28,0301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 P,,,,,,,,,9800,KGS,440.6022184,4317901.74,4.967330534,48679.83923,1898149.5
INNSA1,2025-10-23,0301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,232 PCS/CNY:101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,2",,,,,,,,,4004,KGS,408.8936638,1637210.23,4.609849649,18457.83799,460056
INNSA1,2025-10-13,0301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS,,,,,,,,,1548.8,KGS,378.4578448,586155.51,4.219151001,6534.62107,164709.7
INNSA1,2025-10-13,0301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER P,,,,,,,,,10042.2,KGS,399.7396746,4014265.76,4.456406628,44752.12664,1128008.7
INNSA1,2025-10-08,0301049751,73239990,STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/CNY:7.45 PER PCS)STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/:7.45,,,,,,,,,15568,KGS,432.1581764,6727838.49,4.817816905,75003.77358,1890522.7
INNSA1,2025-10-06,0301049751,73239990,STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PERSET)STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PER,,,,,,,,,380,KGS,100.4420789,38167.99,1.119755618,425.5071349,10725.3
INNSA1,2025-10-01,0301049751,73239990,AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS) AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS),,,,,,,,,460,KGS,85.37782609,39273.8,0.9609209464,442.0236353,11036
INNSA1,2025-10-01,0301049751,73239990,AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS) AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS),,,,,,,,,310,KGS,124.9693226,38740.49,1.406520232,436.0212718,10886.1
INNSA1,2025-10-01,0301049751,73239990,AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PERPCS)AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PER,,,,,,,,,168,KGS,199.7157143,33552.24,2.247785192,377.6279122,9428.1
INNSA1,2025-10-01,0301049751,73231000,8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 P,,,,,,,,,9800,KGS,456.1253898,4470028.82,5.13365661,50309.83478,1965024.7
INNSA1,2025-09-27,0301049751,73231000,OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228PER PCS)OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228,,,,,,,,,7496.03,KGS,263.5713784,1975738.96,2.966475841,22236.7919,868534.9
INNSA1,2025-09-27,0301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 P,,,,,,,,,4900,KGS,442.0729367,2166157.39,4.975497318,24379.93686,952242.8
INNSA1,2025-09-24,0301049751,73239990,AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS) AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS),,,,,,,,,3953.4,KGS,492.7319699,1947966.57,5.545660889,21924.21576,547378.6
INNSA1,2025-09-24,0301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.36 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.,,,,,,,,,5646.16,KGS,971.5058004,5485277.19,10.93422398,61736.37805,1541362.8
INNSA1,2025-09-24,0301049751,73239990,NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS) NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS),,,,,,,,,2310,KGS,568.2142554,1312574.93,6.395208277,14772.93112,368833.6
INNSA1,2025-09-24,0301049751,73239990,"HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:55,296 SET/USD:0.24 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:55,296 SET/USD:0.2",,,,,,,,,1843.2,KGS,689.9043023,1271631.61,7.76482051,14312.11716,357328.4
INNSA1,2025-09-24,0301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY:1026 PCS/USD 0.9770 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY:1026 PCS/USD 0.9770 PER PC,,,,,,,,,250.8,KGS,384.0942584,96330.84,4.322951698,1084.196286,27069
INNSA1,2025-09-24,0301049751,73239990,HOUSEHOLD STEEL HOOK 3 PCS SET (2628) (QTY:432 SET/USD:0.360PER SET)HOUSEHOLD STEEL HOOK 3 PCS SET (2628) (QTY:432 SET/USD:0.360,,,,,,,,,14.64,KGS,987.6775956,14459.6,11.1162363,162.7416995,4063.1
INNSA1,2025-09-23,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1232 PCS/CNY 101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 123,,,,,,,,,4004,KGS,434.3341334,1739073.87,4.888397674,19573.14429,488679.8
INNSA1,2025-09-23,0301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS) H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS),,,,,,,,,9776,KGS,347.6034667,3398171.49,3.912250609,38246.16196,954886.2
INNSA1,2025-09-23,0301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS)H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS,,,,,,,,,9776,KGS,347.6034186,3398171.02,3.912250068,38246.15667,954886
INNSA1,2025-09-20,0301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.24 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.2,,,,,,,,,5120,KGS,660.8427539,3383514.9,7.437734991,38081.20315,1239719.9
INNSA1,2025-09-10,0301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,232 PCS/CNY:101.00 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,23",,,,,,,,,4004,KGS,427.8509965,1713115.39,4.807314567,19248.48753,627685.5
INNSA1,2025-09-09,0301049751,73239990,STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS) STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS),,,,,,,,,150,KGS,499.2998,74894.97,5.610110112,841.5165169,27441.5
INNSA1,2025-09-05,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-026-3S) (QTY:1696 PCS/CNY: 81.50 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-026-3S) (QTY,,,,,,,,,6614.4,KGS,308.044063,2037526.65,3.461169247,22893.55787,746549.7
INNSA1,2025-09-02,0301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY:4842 PCS/USD 0.977 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY:4842 PCS/USD 0.977 PER PCS,,,,,,,,,1183.6,KGS,381.6843697,451761.62,4.342256766,5139.495108,165525.4
INNSA1,2025-09-02,0301049751,73239990,SY-845-4 STEEL BASKET BIG (QTY 37200 PCS/USD 0.9691 PER PCS) SY-845-4 STEEL BASKET BIG (QTY 37200 PCS/USD 0.9691 PER PCS),,,,,,,,,6975,KGS,506.1900172,3530675.37,5.758703267,40166.95529,1293639.5
INNSA1,2025-09-02,0301049751,73239990,NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.270 PER PCS) NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.270 PER PCS),,,,,,,,,2310,KGS,562.5649134,1299524.95,6.400055898,14784.12912,476146
INNSA1,2025-09-02,0301049751,73239990,AM-321 STEEL DRAINER (QTY:21648 PCS/USD 0.702 PER PCS) AM-321 STEEL DRAINER (QTY:21648 PCS/USD 0.702 PER PCS),,,,,,,,,2976.6,KGS,487.5564066,1451260.4,5.546716799,16510.35722,531741.8
INNSA1,2025-08-30,0301049751,73239990,STEEL SALT BOTTLE (NP-19) (QTY: 36180 PC/USD 0.446 PER PC) STEEL SALT BOTTLE (NP-19) (QTY: 36180 PC/USD 0.446 PER PC),,,,,,,,,5628,KGS,271.1943106,1526281.58,3.085259506,17363.8405,559229.5
INNSA1,2025-08-29,0301049751,73231000,"STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228PER SET)STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228",,,,,,,,,8856,KGS,242.0626457,2143706.79,2.753841248,24388.01809,942373.5
INNSA1,2025-08-23,0301049751,73231000,STEEL SCRUBBER (8001-12) (QTY:263520 PCS/USD:0.078 PER PCS) STEEL SCRUBBER (8001-12) (QTY:263520 PCS/USD:0.078 PER PCS),,,,,,,,,4758,KGS,399.7661097,1902087.15,4.547964843,21639.21672,836157.4
INNSA1,2025-08-23,0301049751,73231000,STEEL SCRUBBER 6 PCS SET (GT001) (QTY:1260 PCS/USD:0.238 PERPCS)STEEL SCRUBBER 6 PCS SET (GT001) (QTY:1260 PCS/USD:0.238 PER,,,,,,,,,180,KGS,154.1690556,27750.43,1.75391417,315.7045506,12199.1
INNSA1,2025-08-20,0301049751,73239990,STEEL SPRINKLER (AM-430) (QTY: 30072 PCS/USD 0.578 PER PCS) STEEL SPRINKLER (AM-430) (QTY: 30072 PCS/USD 0.578 PER PCS),,,,,,,,,5012,KGS,326.0750738,1634288.27,3.680305574,18445.69153,598803.3
INNSA1,2025-08-20,0301049751,73239990,STEEL SALT BOTTLE (NP-19) (QTY: 36000 PCS/USD 0.445 PER PCS) STEEL SALT BOTTLE (NP-19) (QTY: 36000 PCS/USD 0.445 PER PCS),,,,,,,,,5600,KGS,268.9756429,1506263.6,3.03584247,17000.71783,551895
INNSA1,2025-08-16,0301049751,73231000,"STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228PER SET)STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228",,,,,,,,,8856,KGS,235.9864363,2089895.88,2.663503796,23587.98962,918718.2
INNSA1,2025-08-07,0301049751,73239990,STEEL BASKET SQUARE (SY-845-6) (QTY: 4400 PCS/USD 0.702 PERPCS)STEEL BASKET SQUARE (SY-845-6) (QTY: 4400 PCS/USD 0.702 PER,,,,,,,,,660,KGS,436.1330455,287847.81,5.024574256,3316.219009,105467.5
